Date,Close,High,Low,Open,Volume,Ticker,MA7,MA30,MA90,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Daily_Return,Volatility,Price_Range,Volume_Change,Close_Diff1
2025-06-04,104731.984375,105997.6953125,104232.703125,105434.3671875,44544857105,BTC-USD,105139.50111607143,105210.66041666667,92570.12734375,105869.77666102297,104494.33668277384,1375.4399782491382,2251.551216317178,-876.1112380680397,35.45913398818908,106660.159765625,111210.6525367361,102109.66699451389,9100.985542222217,-0.6643915136436584,1.8419445905137182,1764.9921875,-3.575272938116336,-700.484375
2025-06-05,101575.953125,105936.6875,100436.8828125,104750.78125,57479298400,BTC-USD,104558.671875,105369.77630208334,92734.94157986112,105209.18842471176,104278.16012293875,931.0283017730108,1987.4466334083445,-1056.4183316353337,22.211825655306228,106564.49296875,111462.82500737275,101666.16093012724,9796.664077245514,-3.0134359325224014,1.9074136167528346,5499.8046875,29.036890307025253,-3156.03125
2025-06-06,104390.34375,105376.7734375,101169.5703125,101574.3671875,48856653697,BTC-USD,104614.63950892857,105615.04375,92937.56102430556,105083.21232090995,104286.47002123957,796.7422996703826,1749.3057666607522,-952.5634669903695,41.27131018134542,106624.455859375,111376.07626940253,101872.83544934746,9503.24082005507,2.7707252931573167,1.9653337455934452,4207.203125,-15.001304718430596,2814.390625
2025-06-07,105615.625,105972.7578125,103987.3125,104390.6484375,38365033776,BTC-USD,104754.28683035714,105694.18255208334,93215.50086805556,105165.12196384688,104384.9259455922,780.1960182546754,1555.483816979537,-775.2877987248617,43.719314706386506,106582.93671875,111355.58748152727,101810.28595597274,9545.301525554532,1.1737496074678777,1.600383620261654,1985.4453125,-21.474290863363464,1225.28125
2025-06-08,105793.6484375,106497.0625,105075.328125,105617.5078125,36626232328,BTC-USD,104774.5078125,105788.27578125,93518.40807291666,105261.81834440891,104489.2757598076,772.5425846013095,1398.8955705038916,-626.3529859025821,40.02725457066841,106592.31015625,111357.61441356095,101827.00589893904,9530.608514621912,0.16855786016509722,1.599063728807626,1421.734375,-4.532255746605762,178.0234375
2025-06-09,110294.1015625,110561.421875,105400.234375,105793.0234375,55903193732,BTC-USD,105404.875,105974.86822916666,93823.20685763888,106036.01576257676,104919.26285630334,1116.7529062734247,1342.4670376577983,-225.71413138437356,52.09778369549942,106767.4609375,111812.80864422357,101722.11323077643,10090.69541344713,4.253991795791734,1.7488034087536135,5161.1875,52.6315708134226,4500.453125
2025-06-10,110257.234375,110380.125,108367.7109375,110295.6875,54700101509,BTC-USD,106094.12723214286,106179.89739583334,94118.03880208333,106685.43401064187,105314.66815398456,1370.7658566573082,1348.1268014577004,22.63905519960781,53.16604186387657,106796.41875,111918.1750107306,101674.6624892694,10243.512521461205,-0.03342625487465778,1.7436133475714088,2012.4140625,-2.1520992678300765,-36.8671875
2025-06-11,108686.625,110384.21875,108086.328125,110261.796875,50842662052,BTC-USD,106659.07589285714,106375.68645833334,94424.92682291666,106993.3095474662,105564.44273517089,1428.8668122953095,1364.2748036252221,64.59200867008735,52.17614990460239,106647.0859375,111325.07302640755,101969.09884859245,9355.974177815107,-1.4244955298426398,1.749138569013941,2297.890625,-7.051978608056741,-1570.609375
2025-06-12,105929.0546875,108780.6953125,105785.6875,108685.9140625,54843867968,BTC-USD,107280.94754464286,106434.32786458333,94668.92630208333,106829.57803054832,105591.45102793601,1238.1270026123093,1339.0452434226397,-100.91824081033042,50.68682273048175,106579.148828125,111257.4227917252,101900.87486452481,9356.547927200387,-2.5371753999169577,1.8048639882542339,2995.0078125,7.869780523898839,-2757.5703125
2025-06-13,106090.96875,106182.546875,102822.0234375,105924.59375,69550440846,BTC-USD,107523.89397321429,106519.3796875,94910.56918402777,106715.94583354089,105628.4523406815,1087.4934928593866,1288.7348933099893,-201.24140045060267,55.383442137047254,106494.139453125,111141.36840661212,101846.91049963787,9294.457906974247,0.15285141831733462,1.8003638456860824,3360.5234375,26.81534585886778,161.9140625
